cle,port_id,libelles,unlocode,n
3733,3733,Cartagena Colombia,,1
442,442,Panama Canal,,1
441,441,"Manta, Ecuador",,1
439,439,"Callao-Lima, Peru",,1
438,438,"Pisco, Paracas-Puerto General San Martin, Peru",,1
425,425,"Easter Island Chile, Hanga Roa",,1
109,109,"Papeete, Tahiti Island French Polynesia",,1
418,418,"Moorea Island, Society Islands French Polynesia",,1
14189,14189,"Disney Lookout Cay, Lighthouse Point, Eleuthera Bahamas",,1
25,25,"Grand Cayman Island, George Town Harbour",,1
667,667,Falmouth Jamaica,,1
3979,3979,"Heidelberg, Germany Baden-Wurttemberg",,1
4007,4007,"Rhine Gorge, Germany",,1
11775,11775,"Alkmaar, Netherlands North Holland",,1
1370,1370,"Saaremaa Island, Kuressaare, Estonia",,1
901,901,Kiel Canal,,1
8996,8996,"Isle of Portland, Weymouth, Dorset England",,1
775,775,"Stornoway, Isle of Lewis and Harris, Scotland",,1
1733,1733,"Weissenkirchen in der Wachau, Austria",,1
381,381,"Esztergom, Hungary",,1
14288,14288,"Ochsenfurt, Germany Bavaria",,1
3988,3988,"Mainz, Germany Rhineland-Palatinate",,1
1726,1726,"Boppard, Germany Rhineland-Palatinate",,1
3895,3895,"Mantes-la-Jolie, France",,1
13676,13676,"Arromanches-les-Bains, France",,1
3826,3826,"Avignon, France",,1
3824,3824,"Arles, France",,1
3929,3929,"Vienne, France",,1
3837,3837,"Chalon-sur-Saone, France",,1
3880,3880,"Lyon, France",,1
3867,3867,"Giverny, France",,1
2072,2072,"Puerto Banus-Marbella, Spain Costa del Sol",,1
680,680,"Tangier, Morocco, Tanger-Ville",,1
93,93,"La Goulette-Tunis, Tunisia",,1
1010,1010,"Alicante, Spain",,1
358,358,"Tarragona, Spain Costa Daurada",,1
39,39,"San Juan, Puerto Rico",,1
9066,9066,"Falmouth UK, England",,1
220,220,"Olbia, Sardinia Italy",,1
alaska-fjords-misty,,"Misty Fjords, Alaska",,1
alaska-narrows-wrangell,,Wrangell Narrows Alaska,,1
13325,13325,"Baranof Island, Alaska",,1
1017,1017,"Motril, Spain Granada",,1
1023,1023,"Great Stirrup Cay, Bahamas NCL private island",,1
280,280,"Trieste, Italy",,1
726,726,"Hvar Island Croatia, Stari Grad-Hvar Town",,1
903,903,"Lesbos Island, Mytilene, Greece",,1
259,259,"Chios Island, Greece",,1
763,763,"Kos Island, Greece",,1
5230,5230,"Kotka, Finland",,1
184,184,"Skagen, Denmark",,1
34,34,Belize City,,1
395,395,"Grand Turk Island, Cockburn Town, Turks and Caicos",,1
3615,3615,"Bimini Islands, Resorts World Bimini Bahamas",,1
2159,2159,"Brussels, Belgium",,1
948,948,"Antwerp, Belgium",,1
222,222,"Maastricht, Netherlands Limburg",,1
9685,9685,"Roermond, Netherlands Limburg",,1
3974,3974,"Cochem, Germany Rhineland-Palatinate",,1
4017,4017,"Trier, Germany Rhineland-Palatinate",,1
274,274,"Bernkastel-Kues, Germany Rhineland-Palatinate",,1
375,375,"Prague, Czechia",,1
952,952,"Nordkapp-North Cape, Mageroya Island Norway",,1
1565,1565,"Bjornoya-Bear Island, Svalbard Norway",,1
9197,9197,"Svalbard Islands, Arctic Norway",,1
897,897,"Longyearbyen, Spitsbergen, Svalbard Norway",,1
3813,3813,"Bordeaux, France",,1
1052,1052,"Belle-Ile-en-Mer, Le Palais, France",,1
1988,1988,"Concarneau, France",,1
1069,1069,"St Mary's Island England, Hugh Town, Scilly Isles",,1
1050,1050,"Fowey, England",,1
561,561,"Guernsey Island, St Peter Port, Channel Islands UK",,1
4515,4515,"Poole, England",,1
1941,1941,"Ostend, Belgium",,1
1163,1163,"London-Tilbury, England",,1
british-canada-columbia-narrows-seymour,,"Seymour Narrows Canada, British Columbia",,1
bc-canada-charlotte-queen-sound,,"Queen Charlotte Sound BC, Canada",,1
alaska-canal-lynn,,Lynn Canal Alaska,,1
1151,1151,"Milos Island, Adamantas, Greece",,1
147,147,"Alghero, Sardinia Italy",,1
144,144,"Saint-Tropez, France Riviera",,1
11828,11828,"Liepaja, Latvia",,1
180,180,"Andalsnes, Norway",,1
189,189,"Trondheim, Norway",,1
froya-norway-sistranda,,"Froya Island Norway, Sistranda",,1
10414,10414,"Cascais, Sintra, Portugal",,1
9701,9701,"Coimbra, Portugal",,1
3739,3739,"Porto-Leixoes, Oporto, Portugal",,1
9543,9543,"Porto Antigo, Cinfaes, Portugal",,1
2189,2189,"Caldas de Aregos, Portugal",,1
4338,4338,"Regua, Portugal, Lamego",,1
13787,13787,"Folgosa, Portugal",,1
4337,4337,"Pinhao, Portugal, Favaios",,1
4336,4336,"Pocinho, Portugal",,1
4447,4447,"Vega de Terron-Salamanca, Spain",,1
741,741,"Funchal, Madeira Island Portugal",,1
1114,1114,"Santa Cruz de la Palma, Canary Islands",,1
94,94,"Santa Cruz de Tenerife, Canary Islands",,1
836,836,"Arrecife, Lanzarote, Canary Islands",,1
1953,1953,"Lavrion, Greece",,1
3606,3606,"Krems an der Donau, Austria",,1
249,249,"Volos, Meteora, Greece",,1
4020,4020,"Wertheim am Main, Germany Baden-Wurttemberg",,1
1049,1049,"Djupivogur, Iceland",,1
heimaey-iceland-islands-westman,,"Heimaey Island Iceland, Westman Islands",,1
9180,9180,"Newhaven, England",,1
203,203,"Honningsvag, Mageroya Island Norway",,1
11094,11094,"Eidsdal, Norway",,1
denmark-islands-ox,,Ox Islands Denmark,,1
757,757,"Porto Vecchio, Corsica France",,1
173,173,"Bastia, Corsica France",,1
2678,2678,"Ile Rousse, Corsica France",,1
54,54,"Rotterdam, Netherlands South Holland",,1
13560,13560,"Dun Laoghaire, Ireland",,1
99,99,"Montreal, Quebec Canada",,1
